endpoint,lr_test_pr_auc,lr_test_roc_auc,xgb_grid_test_pr_auc,xgb_grid_test_roc_auc,xgb_es_test_pr_auc,xgb_es_test_roc_auc,best_iteration,test_pos_rate,delta_grid_vs_lr_pr_auc,delta_es_vs_lr_pr_auc,delta_es_vs_grid_pr_auc
NR-AR-LBD,0.556068827664688,0.8967143875815918,0.638360524188708,0.907986396796665,0.6938431197784829,0.9264851077834456,29,0.087149187592319,0.08229169652402002,0.13777429211379488,0.055482595589774863
SR-MMP,0.587816286747144,0.8290139704393602,0.5816906137319815,0.8087838293851657,0.576095824490284,0.8023722750894243,291,0.2271944922547332,-0.006125673015162536,-0.011720462256860076,-0.00559478924169754
NR-AhR,0.5166466695526571,0.8405227009187405,0.5255954027309655,0.8253679421996254,0.5260230961398913,0.8248773526001248,232,0.1539634146341463,0.008948733178308355,0.009376426587234143,0.0004276934089257889
NR-AR,0.5070146681949729,0.7271563677735902,0.4856425856488925,0.7160278745644599,0.4686107501187021,0.7164900803526986,74,0.0563961485557083,-0.021372082546080362,-0.03840391807627075,-0.017031835530190387
NR-ER,0.4404896276001014,0.6749869558735838,0.479350779295193,0.7036467650566488,0.458608355954111,0.7019510286225401,221,0.1677419354838709,0.03886115169509158,0.018118728354009572,-0.020742423341082006
SR-ARE,0.3333412519563168,0.6892269253380364,0.3019560270823316,0.6818783068783069,0.3254417886901483,0.7003233392122281,386,0.1678082191780822,-0.03138522487398521,-0.007899463266168527,0.02348576160781668
NR-Aromatase,0.2702195835659365,0.7442312363371387,0.2680215527652951,0.6937090114160798,0.3072438995932424,0.7062788438183143,76,0.078902229845626,-0.002198030800641404,0.03702431602730588,0.039222346827947285
SR-p53,0.302711794124902,0.7409405537459284,0.2301795894837757,0.6826903501628664,0.297567553354875,0.7585504885993486,62,0.0943952802359882,-0.07253220464112631,-0.005144240770027009,0.0673879638710993
NR-ER-LBD,0.2578747293725927,0.6895943147590362,0.3353918266526005,0.7202324924698795,0.2843956959065879,0.6548851656626506,93,0.0459770114942528,0.07751709728000777,0.026520966533995216,-0.05099613074601256
SR-HSE,0.153214519672138,0.6729924023031583,0.1809722878384416,0.6188886238969711,0.2342283026549682,0.687250860277333,82,0.0756172839506172,0.027757768166303598,0.08101378298283018,0.05325601481652659
NR-PPAR-gamma,0.280703178007546,0.7742206067384313,0.2061282409345808,0.7707255696910387,0.2292238118092192,0.7702712148748777,188,0.0356589147286821,-0.07457493707296523,-0.051479366198326826,0.0230955708746384
SR-ATAD5,0.1610673753745578,0.654406935505057,0.1483190093554786,0.6199428608958362,0.1302688662851914,0.6172008406672796,354,0.0649717514124293,-0.012748366019079194,-0.030798509089366377,-0.018050143070287183
