endpoint,status,val_pr_auc,val_roc_auc,test_pr_auc,test_roc_auc,train_n,val_n,test_n,test_pos_rate,max_depth,n_estimators,learning_rate,subsample,colsample_bytree,scale_pos_weight
NR-AR,ok,0.3501824667698194,0.6089080459770115,0.48564258564889257,0.7160278745644599,5812,726,727,0.05639614855570839,5,300,0.1,0.8,0.8,23.42016806722689
NR-AR-LBD,ok,0.31115278719841943,0.7741074407741074,0.638360524188708,0.907986396796665,5406,675,677,0.08714918759231906,3,300,0.1,0.8,0.8,30.988165680473372
NR-AhR,ok,0.639861562190014,0.8308403924842283,0.5255954027309655,0.8253679421996254,5239,654,656,0.15396341463414634,5,300,0.1,0.8,0.8,8.998091603053435
NR-Aromatase,ok,0.2611605057445601,0.6624639939557067,0.26802155276529516,0.6937090114160798,4656,582,583,0.07890222984562607,5,600,0.1,0.8,0.8,20.655813953488373
NR-ER,ok,0.5508194768633056,0.7746709902529678,0.47935077929519304,0.7036467650566488,4954,619,620,0.16774193548387098,5,300,0.05,0.8,0.8,7.439522998296423
NR-ER-LBD,ok,0.5484351845866411,0.7585803432137286,0.3353918266526005,0.7202324924698795,5564,695,696,0.04597701149425287,5,300,0.05,0.8,0.8,20.075757575757574
NR-PPAR-gamma,ok,0.2413384952565523,0.7204777241009125,0.2061282409345808,0.7707255696910387,5160,645,645,0.03565891472868217,5,300,0.05,0.8,0.8,36.12230215827338
SR-ARE,ok,0.5121448794661925,0.7498587241963901,0.3019560270823316,0.6818783068783069,4665,583,584,0.1678082191780822,5,600,0.05,0.8,0.8,5.570422535211268
SR-ATAD5,ok,0.16786925352538729,0.7046292031321971,0.14831900935547862,0.6199428608958362,5657,707,708,0.06497175141242938,3,600,0.05,0.8,0.8,30.60335195530726
SR-HSE,ok,0.3120812681970661,0.7589186176142698,0.18097228783844166,0.6188886238969711,5173,646,648,0.07561728395061729,5,600,0.1,0.8,0.8,17.810909090909092
SR-MMP,ok,0.6015937172019907,0.805040063824621,0.5816906137319815,0.8087838293851657,4648,581,581,0.22719449225473323,3,600,0.1,0.8,0.8,6.053110773899848
SR-p53,ok,0.41935172993392467,0.7815376054107274,0.23017958948377576,0.6826903501628664,5419,677,678,0.0943952802359882,5,600,0.1,0.8,0.8,18.284697508896798
